Reactant ID,Reactant SMILES,Product ID,Product SMILES,Catalyst ID,Catalyst Designation,Standard Catalyst Mixture,Mixture Change Note,Solvent 1 ID,Solvent 1 SMILES,Solvent 2 ID,Solvent 2 SMILES,Sol1_Sol2_Ratio,Oxidant ID,Oxidant SMILES,Oxidant Solution ID,Oxidant Solution SMILES,Ox/Ox_Sol,Additive ID,Additive SMILES,Temperature ©,Time,Yield (%),ee (%),er,ddG er (kcal/mol),Multiple Stereocenters,de (%),dr,ddG dr (kcal/mol),Olefin Type,DOI,Additional Notes
react_0,N#CC/C=C/C,prod_0,O[C@H](C)[C@H](O)CC#N,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[K+].[K+].[K+].[Fe+3],,,,adtv_0,CS(=O)(=O)N,0,72,84,86,13.28571429,1.403955686,No,,,,Trans,10.1021/ja205673e,
react_1,C=Cc1csc(=O)s1,prod_1,O=c1scc([C@H](O)CO)s1,cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,,,4,17,96,94,32.33333333,1.91432161,No,,,,Mono,10.1016/S0040-4020(98)00072-6,
react_2,C=CCCCBr,prod_2,OC[C@@H](O)CCCBr,cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,,,4,Not Reported,94,65,4.714285714,0.853929189,No,,,,Mono,10.1002/recl.19951140107,
react_3,C=Cc1ccco1,prod_997,OC[C@@H](O)c1ccco1,cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,0.4,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,,,0,12,85,92,24,1.724925629,No,,,,Mono,10.1016/S0008-6215(00)00031-8,
react_3,C=Cc1ccco1,prod_3,OC[C@H](O)c1ccco1,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,0.4,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,,,0,12,85,90,19,1.598128455,No,,,,Mono,10.1016/S0008-6215(00)00031-8,
react_4,C=Cc1cccc2ccccc12,prod_4,OC[C@H](O)c1cccc2ccccc12,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,,,0,5,85,99.5,399,3.25057837,No,,,,Mono,10.1016/0957-4166(95)00034-M,also reported as  as 96% ee in OR p 251
react_5,C=CCCCCCCO,prod_5,OCCCCCC[C@@H](O)CO,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,,,0,Not Reported,64,95,39,1.988440635,No,,,,Mono,10.1016/0040-4039(95)00207-S,
react_6,CCCCC=C(C)C,prod_6,CCCC[C@@H](O)C(C)(C)O,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,adtv_0,CS(N)(=O)=O,0,Not Reported,Not Reported,98,99,2.494054671,No,,,,Tri,10.1021/jo00036a003,
react_6,CCCCC=C(C)C,prod_7,CCCC[C@H](O)C(C)(C)O,cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,adtv_0,CS(N)(=O)=O,0,Not Reported,Not Reported,95,39,1.988440635,No,,,,Tri,10.1021/jo00036a003,
react_7,C1=C(c2ccccc2)CCCC1,prod_8,O[C@@H]1CCCC[C@@]1(O)c1ccccc1,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,adtv_0,CS(N)(=O)=O,0,Not Reported,Not Reported,99,199,2.873002675,Yes,,,,Tri,10.1021/jo00036a003,
react_7,C1=C(c2ccccc2)CCCC1,prod_10,O[C@H]1CCCC[C@]1(O)c1ccccc1,cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,adtv_0,CS(N)(=O)=O,0,Not Reported,Not Reported,97,65.66666667,2.271235608,Yes,,,,Tri,10.1021/jo00036a003,
react_8,CCCC/C=C/CCCC,prod_11,CCCC[C@@H](O)[C@H](O)CCCC,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,adtv_0,CS(N)(=O)=O,0,Not Reported,Not Reported,97,65.66666667,2.271235608,No,,,,Trans,10.1021/jo00036a003,
react_8,CCCC/C=C/CCCC,prod_12,CCCC[C@H](O)[C@@H](O)CCCC,cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,adtv_0,CS(N)(=O)=O,0,Not Reported,Not Reported,93,27.57142857,1.800220891,No,,,,Trans,10.1021/jo00036a003,
react_9,CCCC/C=C/C(=O)OCC,prod_13,CCCC[C@@H](O)[C@H](O)C(=O)OCC,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,adtv_0,CS(N)(=O)=O,25,Not Reported,Not Reported,99,199,3.135953679,Yes,,,,Trans,10.1021/jo00036a003,
react_9,CCCC/C=C/C(=O)OCC,prod_14,CCCC[C@H](O)[C@@H](O)C(=O)OCC,cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,adtv_0,CS(N)(=O)=O,25,Not Reported,Not Reported,96,49,2.305661319,Yes,,,,Trans,10.1021/jo00036a003,
react_10,CCOC(=O)/C=C/c1ccccc1,prod_15,CCOC(=O)[C@@H](O)[C@H](O)c1ccccc1,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,adtv_0,CS(N)(=O)=O,25,Not Reported,Not Reported,97,65.66666667,2.47911,Yes,,,,Trans,10.1021/jo00036a003,
react_10,CCOC(=O)/C=C/c1ccccc1,prod_16,CCOC(=O)[C@H](O)[C@@H](O)c1ccccc1,cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,adtv_0,CS(N)(=O)=O,25,Not Reported,Not Reported,95,39,2.170432273,Yes,,,,Trans,10.1021/jo00036a003,
react_11,C(=C/c1ccccc1)\c1ccccc1,prod_17,O[C@H](c1ccccc1)[C@H](O)c1ccccc1,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,adtv_0,CS(N)(=O)=O,0,Not Reported,Not Reported,99.5,399,3.25057837,No,,,,Trans,10.1021/jo00036a003,
react_11,C(=C/c1ccccc1)\c1ccccc1,prod_18,O[C@@H](c1ccccc1)[C@@H](O)c1ccccc1,cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,adtv_0,CS(N)(=O)=O,0,Not Reported,Not Reported,99.5,399,3.25057837,No,,,,Trans,10.1021/jo00036a003,
react_12,C=C(C)CCCCC,prod_19,CCCCC[C@@](C)(O)CO,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,,,0,Not Reported,Not Reported,78,8.090909091,1.134774014,No,,,,Gem,10.1021/jo00036a003,
