,b1_0,b5_0,l_0,vol_0,espmin_0,espmax_0,b1_1,b5_1,l_1,vol_1,espmin_1,espmax_1,homo,lumo,nat_charge_1,nat_charge_2,pert_1,pert_2,pert_3,pi_orb,pi*_orb,disp_1_0,disp_2_0,disp_3_0,disp_4_0,disp_5_0,disp_6_0,disp_7_0,disp_8_0,disp_9_0,disp_10_0,disp_1_1,disp_2_1,disp_3_1,disp_4_1,disp_5_1,disp_6_1,disp_7_1,disp_8_1,disp_9_1,disp_10_1,ddG er (kcal/mol)
react_0,1.6855726263395094,3.645774844926293,3.0130860587603543,15.76797154685701,14.87796487169486,163.90366902482378,1.664709412211061,1.6648169889413955,2.354514534785343,5.651133208581501,67.11172838512337,147.79650133118926,-7.3085,-0.1313,-0.21503,-0.1812,4.93,4.79,4.01,-0.33621,0.10867,140.10925,32.60775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.729375,27.7975,23.58,6.610125,0.0,0.0,0.0,0.0,0.0,0.0,1.4039556858223057
react_8,1.6813718192461595,4.985501938100517,3.72505335283145,31.12171976422473,40.404776915743,145.06267964783365,1.680181420986992,5.182466945913837,3.7171630057595513,30.38638778319267,40.31532092286888,146.77384845929953,-6.4804,0.6106,-0.20211,-0.2113,4.84,4.47,4.1,-0.25367,0.07193,135.1326849315068,45.90546379647749,50.54598825831702,37.26354794520552,13.657027397260288,1.4385714285714284,0.0,0.0,0.0,0.0,135.2046555772995,45.213802348336586,51.55031702544031,37.1218277886497,13.39460078277888,1.4580802348336597,0.0,0.0,0.0,0.0,2.0357282492026565
react_37,1.305517472404497,5.992124056691861,6.746770311723889,52.73690617429757,-4.564872162813356,149.4448381842827,1.6873392610902125,3.251318113681352,6.008534164009376,29.522391089132505,42.03627618376046,143.97029767274486,-6.0047,-0.4048,-0.29672,-0.14421,4.77,4.75,4.42,-0.26101,0.05779,150.44267690058476,22.623555555555583,53.1880891812866,70.39945760233918,26.7716067251462,25.749785087719243,11.305141812865504,3.348976608187133,0.0169356725146198,0.0,143.4607690058479,55.60977777777773,25.684793859649098,51.66985233918127,38.443461988304094,17.354852339181292,22.60461842105264,6.122697368421052,2.881837719298244,0.0135643274853801,1.8866929383908122
react_43,1.6567799678409052,6.701432209277966,4.249064532542278,45.802300670394125,34.79013418483899,148.0585384922808,1.68097797298382,5.222812937140414,3.72426905462566,28.88603151425082,45.34603835694986,146.48610813385207,-6.6682,0.382,-0.22149,-0.19333,4.78,4.59,3.77,-0.25756,0.0707,131.9235266030013,102.3150791268758,94.5502196452932,106.1150818553888,63.795770804911285,18.899849931787188,2.239525238744887,0.0941432469304229,0.0,0.0,132.16106821282395,53.4307735334243,139.56558663028645,82.46985948158252,71.23088676671208,35.47484311050476,5.432373806275575,0.1678049113233287,0.0,0.0,2.127797121815282
react_44,1.678705926595535,7.638281675460483,5.472487271741088,69.86394218270614,10.128333401648268,145.6660119927554,1.664798143457807,1.6648638472284232,2.35438703662696,5.651414920833302,67.19128460036171,150.25913670264438,-6.4714,0.6995,-0.20897,-0.20483,4.93,4.16,4.08,-0.25279,0.07241,134.7390067340067,33.62151178451178,34.98793939393937,70.58271380471378,57.57359259259262,49.93745117845121,23.31368686868685,9.080828282828286,1.001579124579124,0.0,116.54707070707076,25.618491582491583,32.764242424242425,51.80828956228956,62.913932659932655,59.53191582491581,38.0647474747475,19.667686868686857,6.6905218855218855,1.2314107744107743,1.0716317868637204
react_46,1.6745553608501147,8.064058471549824,4.570935277763876,46.25505583462103,24.880521593146653,147.3078376820966,1.6811986678770527,6.318012715570577,3.725629789523841,37.068001743400856,35.852770077564976,147.25103245016632,-6.5267,0.5515,-0.2314,-0.19507,5.65,4.61,3.82,-0.25652,0.06798,132.36229013079668,47.45282520808561,101.57387633769324,121.15320570749095,91.0069060642093,56.80545303210463,20.434202140309164,2.6797324613555293,0.0396634958382877,0.0,135.352750297265,52.34323186682523,88.29822116527949,93.40679072532704,100.0760071343639,63.9830297265161,30.45225802615933,8.603361474435196,0.9620309155766936,0.0304732461355529,1.6733395542491392
react_55,1.6798178589248325,16.33711540802972,3.717139941312072,99.51743623384758,19.82808109901877,146.1352003207191,1.6565552937019596,6.441302460522019,6.091950138163941,64.82376761348537,35.25982646565727,152.6375616838805,-6.3268,0.8671,-0.20209,-0.25128,4.58,4.56,4.36,-0.25051,0.07525,132.51272826086958,62.81547826086955,152.13058695652168,121.82824456521747,138.6161793478261,72.83705434782608,30.22351630434781,16.464342391304363,12.273211956521738,21.52184239130435,131.76124999999993,100.087097826087,125.1493315217392,133.927945652174,115.8444076086957,70.09518478260873,32.30127717391304,21.025972826086957,9.404869565217396,21.62584782608696,1.8866929383908122
react_317,1.664803282677341,1.664864748765512,2.354473483592415,5.651684324319431,67.18552833050067,147.62085396345347,1.6647018460253489,1.6649301094900633,2.3544881306845205,5.65133556315454,67.36884285993249,147.37139108810555,-6.4948,0.7498,-0.21045,-0.21045,4.82,4.11,4.11,-0.25381,0.0712,116.569,6.561333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.40433333333333,5.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9852697138169655
react_318,3.129677269200222,3.129899808738084,3.629186009250311,7.305340771586114,56.142457056629766,146.10486268517988,1.6648105280444696,1.6648267203401272,2.354475955342087,5.651462025013728,66.8672892878333,149.4256626244271,-6.5281,0.7121,-0.21463,-0.20646,4.85,4.1,4.1,-0.25347,0.07402,174.87574999999998,28.97625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.3485,66.5455,22.04925,1.90875,0.0,0.0,0.0,0.0,0.0,0.0,1.988440635339029
react_320,1.6592142830966337,2.907552726916282,2.9070004910989886,12.20356385742014,49.12794480420766,160.10303618898828,1.6647901907706606,1.6649177376444897,2.354430876190948,5.65155722491253,66.97584861422315,146.9723450783262,-6.9998,-0.1769,-0.24217,-0.17477,5.03,4.91,3.61,-0.27341,0.0589,216.4727142857143,6.003857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.14471428571429,48.995428571428576,60.33642857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.988440635339029
