,Q1_B1,Q1_B5,Q1_L,Q1_VOL,Q1_NWESPMIN,Q1_99ESPMAX,Q1_NATURAL CHARGE,Q2_B1,Q2_B5,Q2_L,Q2_VOL,Q2_NWESPMIN,Q2_99ESPMAX,Q2_NATURAL CHARGE,Q3_B1,Q3_B5,Q3_L,Q3_VOL,Q3_NWESPMIN,Q3_99ESPMAX,Q3_NATURAL CHARGE,Q4_B1,Q4_B5,Q4_L,Q4_VOL,Q4_NWESPMIN,Q4_99ESPMAX,Q4_NATURAL CHARGE,HOMO,LUMO,C0_nat_charge,C1_nat_charge,pert1,pert2,pert3,pi_orb_energy,pi*_orb_energy,AlkC1_RDF_1,AlkC1_RDF_2,AlkC1_RDF_3,AlkC1_RDF_4,AlkC1_RDF_5,AlkC1_RDF_6,AlkC1_RDF_7,AlkC1_RDF_8,AlkC1_RDF_9,AlkC1_RDF_10,AlkC2_RDF_1,AlkC2_RDF_2,AlkC2_RDF_3,AlkC2_RDF_4,AlkC2_RDF_5,AlkC2_RDF_6,AlkC2_RDF_7,AlkC2_RDF_8,AlkC2_RDF_9,AlkC2_RDF_10,Alkene Type
Gem_0,2.0272717475891113,5.849918365478516,6.1609086990356445,75.08924102783203,163.9461212158203,492.02545166015625,0.6975600123405457,1.100000023841858,1.100000023841858,2.5922763347625732,5.575279712677002,342.2778625488281,537.5413818359375,0.2294600009918213,1.100000023841858,1.100000023841858,2.592010736465454,5.575279712677002,342.2778625488281,537.5413818359375,0.22078999876976013,2.310948371887207,2.9598491191864014,4.163547039031982,42.73689270019531,230.32925415039062,553.848388671875,1.1639100313186646,-6.835899829864502,-1.3976999521255493,-0.24792000651359558,-0.28248000144958496,3.09,2.26,2.13,-0.2991200089454651,0.030470000579953194,179.80909729003906,36.01945495605469,32.969181060791016,2.260272741317749,0.0,0.0,0.0,0.0,0.0,0.0,106.6826400756836,67.87336730957031,25.747909545898438,45.25745391845703,5.318636417388916,0.17800000309944153,0.0,0.0,0.0,0.0,Gem
TriQ2_0,2.0696325302124023,6.982117176055908,7.637878894805908,128.64361572265625,126.64075469970703,497.0623779296875,0.8464800119400024,1.100000023841858,1.100000023841858,2.5926475524902344,5.575279712677002,342.2778625488281,537.5413818359375,0.24095000326633453,2.2392241954803467,5.15391206741333,5.504690170288086,77.26136016845703,165.50686645507812,512.8989868164062,-0.5313699841499329,2.2620835304260254,5.392760276794434,5.26479959487915,77.26136016845703,145.21835327148438,505.8931884765625,-0.45524001121520996,-6.959000110626221,-1.2797000408172607,-0.1399099975824356,-0.1394300013780594,5.67,5.4,5.24,-0.27990999817848206,0.04608999937772751,194.36717224121094,56.30365753173828,63.13602828979492,52.805458068847656,36.74142837524414,38.35042953491211,4.614685535430908,0.36014285683631897,0.0,0.0,145.20506286621094,101.89263153076172,42.868743896484375,49.83637237548828,37.18117141723633,46.61225891113281,15.549285888671875,7.174314498901367,0.35917142033576965,0.0,TriQ2
Cis_0,2.2420413494110107,7.563839912414551,11.114375114440918,142.61370849609375,65.0017318725586,496.7188415527344,-0.4596500098705292,2.2495412826538086,3.8793375492095947,5.302182197570801,33.51544952392578,237.04112243652344,511.7342224121094,-0.4554300010204315,1.100000023841858,1.100000023841858,2.598599910736084,5.575279712677002,342.2778625488281,537.5413818359375,0.20895999670028687,1.100000023841858,1.100000023841858,2.5985777378082275,5.575279712677002,342.2778625488281,537.5413818359375,0.20848000049591064,-6.622700214385986,-0.5013999938964844,-0.21389000117778778,-0.20157000422477722,4.43,4.43,2.67,-0.2600800096988678,0.06707999855279922,134.32937622070312,52.10383987426758,53.59417724609375,54.554256439208984,44.30130386352539,43.759395599365234,17.71563148498535,13.046833992004395,0.8371925354003906,0.0,134.73268127441406,37.40938949584961,32.439422607421875,52.009300231933594,44.84504699707031,41.10400390625,39.420963287353516,22.037309646606445,10.243877410888672,0.0,Cis
TriQ3_0,2.2414309978485107,8.097017288208008,8.60693359375,145.28439331054688,71.74525451660156,486.62646484375,-0.45910000801086426,2.258884906768799,7.106074810028076,9.178112983703613,145.28439331054688,36.06620788574219,491.2791748046875,-0.23350000381469727,1.100000023841858,1.100000023841858,2.5940327644348145,5.575279712677002,342.2778625488281,537.5413818359375,0.22498999536037445,2.1118218898773193,6.1333184242248535,8.476720809936523,132.79757690429688,343.419677734375,542.7205810546875,-0.014449999667704105,-6.413599967956543,-2.140500068664551,-0.05045999959111214,-0.1789100021123886,5.5,4.58,3.42,-0.28108999133110046,0.052730001509189606,216.04312133789062,34.22588348388672,115.43822479248047,62.9752311706543,65.98934173583984,104.90128326416016,5.507650375366211,0.16226698458194733,0.0,0.0,156.951171875,92.26590728759766,77.46615600585938,97.1899185180664,76.84364318847656,80.21082305908203,24.315383911132812,0.0,0.0,0.0,TriQ3
Trans_0,2.1623144149780273,4.485766410827637,10.719388008117676,146.4632110595703,123.61710357666016,494.0353088378906,-0.6244699954986572,1.100000023841858,1.100000023841858,2.5972237586975098,5.575279712677002,342.2778625488281,537.5413818359375,0.2155500054359436,2.2514514923095703,8.584799766540527,7.209960460662842,134.51171875,70.81534576416016,494.8763122558594,-0.4776099920272827,1.100000023841858,1.100000023841858,2.5957770347595215,5.575279712677002,342.2778625488281,537.5413818359375,0.2267400026321411,-5.93779993057251,-1.2484999895095825,-0.24195000529289246,-0.1612199991941452,5.09,4.21,2.4,-0.27671998739242554,0.04834999889135361,154.8405303955078,204.8285675048828,141.1613311767578,149.62481689453125,83.63306427001953,72.08808898925781,44.91526412963867,16.69113540649414,1.0521882772445679,0.0,139.32797241210938,180.88795471191406,199.4542999267578,119.49893951416016,101.17998504638672,96.01573181152344,20.75254249572754,9.6603364944458,2.057243824005127,0.0,Trans
Tetra_0,2.275285243988037,5.1562275886535645,5.330199718475342,61.80034255981445,201.3800048828125,500.0979309082031,-0.44475001096725464,2.2755205631256104,5.155716896057129,5.330224514007568,61.80034255981445,201.69778442382812,501.5746154785156,-0.4447399973869324,2.1941497325897217,2.737138271331787,4.057330131530762,19.545366287231445,281.5396728515625,516.2447509765625,-0.6430500149726868,2.194089889526367,2.737096071243286,4.056999683380127,19.545366287231445,281.8110656738281,517.1573486328125,-0.643060028553009,-5.9532999992370605,0.7723000049591064,-0.02995000034570694,-0.029769999906420708,5.12,5.11,4.56,-0.2411700040102005,0.08974999934434891,178.8699951171875,42.12466812133789,2.6523332595825195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.8699951171875,42.17300033569336,2.6040000915527344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tetra
Mono_0,2.1294848918914795,8.264369010925293,9.441107749938965,262.134765625,64.2254409790039,483.5417785644531,-0.11998999863862991,1.100000023841858,1.100000023841858,2.594538927078247,5.575279712677002,342.2778625488281,537.5413818359375,0.19600999355316162,1.100000023841858,1.100000023841858,2.5927560329437256,5.575279712677002,342.2778625488281,537.5413818359375,0.20928999781608582,1.100000023841858,1.100000023841858,2.5959746837615967,5.575279712677002,342.2778625488281,537.5413818359375,0.2184700071811676,-5.96750020980835,-1.9509999752044678,-0.22520999610424042,-0.37703999876976013,2.53,13.06,1.45,-0.2747499942779541,0.04746000096201897,150.29200744628906,33.34000015258789,52.72504425048828,210.06056213378906,304.0380859375,57.914085388183594,45.92991256713867,90.15856170654297,4.752738952636719,0.0,94.31700134277344,55.45952224731445,49.71747970581055,59.93708801269531,269.962646484375,179.33843994140625,100.60221862792969,68.45043182373047,71.4261703491211,0.0,Mono
TriQ4_0,2.2207536697387695,6.141463756561279,9.888450622558594,126.14044189453125,137.3055877685547,521.5630493164062,-0.07801999896764755,2.199774742126465,2.735548496246338,4.050991058349609,19.545366287231445,281.7784423828125,520.7257690429688,-0.6538400053977966,2.204679489135742,2.7329113483428955,4.0241522789001465,19.545366287231445,281.6532897949219,517.1732788085938,-0.6424400210380554,1.100000023841858,1.100000023841858,2.596486806869507,5.575279712677002,342.2778625488281,537.5413818359375,0.2161100059747696,-5.922699928283691,-0.4528000056743622,-0.24424999952316284,0.0024500000290572643,4.64,4.48,4.33,-0.2644500136375427,0.06576000154018402,150.06246948242188,36.36056137084961,60.171875,59.83640670776367,25.8083438873291,101.80134582519531,53.41443634033203,41.54456329345703,0.0,0.0,138.82015991210938,32.612281799316406,56.54793930053711,68.27181243896484,17.674436569213867,120.15721893310547,41.3598747253418,35.751468658447266,17.804813385009766,0.0,TriQ4
Gem_1,2.204982280731201,7.567037582397461,8.25714111328125,119.960693359375,57.50200653076172,491.8350524902344,-0.8118299841880798,1.100000023841858,1.100000023841858,2.593285083770752,5.575279712677002,342.2778625488281,537.5413818359375,0.20951999723911285,1.100000023841858,1.100000023841858,2.5926244258880615,5.575279712677002,342.2778625488281,537.5413818359375,0.20855000615119934,1.7121034860610962,3.8865420818328857,7.513870716094971,82.43355560302734,217.9846954345703,486.814453125,-0.06061999872326851,-6.2600998878479,-0.8592000007629395,-0.05079000070691109,-0.3662799894809723,4.89,2.86,2.75,-0.27316001057624817,0.06678000092506409,238.9633331298828,123.39661407470703,140.40138244628906,53.390052795410156,22.316225051879883,2.974702835083008,0.07869230955839157,0.0,0.0,0.0,114.61822509765625,157.69935607910156,132.72103881835938,113.62194061279297,43.75553894042969,17.33550453186035,1.7454986572265625,0.023899205029010773,0.0,0.0,Gem
TriQ3_1,2.2426578998565674,9.5748929977417,5.928810119628906,145.28439331054688,45.23433303833008,479.4826354980469,-0.45862001180648804,2.5972824096679688,5.421199321746826,9.395625114440918,145.28439331054688,50.146705627441406,498.222900390625,-0.23048999905586243,1.100000023841858,1.100000023841858,2.5942797660827637,5.575279712677002,342.2778625488281,537.5413818359375,0.22115999460220337,1.7228933572769165,3.881795883178711,7.514839172363281,82.43355560302734,220.20172119140625,489.0468444824219,-0.05705999955534935,-6.078100204467773,-0.8672000169754028,-0.039239998906850815,-0.20130999386310577,5.07,4.75,3.41,-0.26688000559806824,0.06759999692440033,215.74652099609375,34.72947692871094,119.65335083007812,38.596435546875,39.441043853759766,60.872074127197266,5.494348049163818,0.22875362634658813,0.0,0.0,157.83599853515625,88.37567901611328,81.53588104248047,86.26756286621094,67.70726013183594,29.856550216674805,3.183058023452759,0.0,0.0,0.0,TriQ3
