,b1_0,b5_0,l_0,vol_0,espmin_0,espmax_0,b1_1,b5_1,l_1,vol_1,espmin_1,espmax_1,homo,lumo,nat_charge_1,nat_charge_2,pert_1,pert_2,pert_3,pi_orb,pi*_orb,disp_1_0,disp_2_0,disp_3_0,disp_4_0,disp_5_0,disp_6_0,disp_7_0,disp_8_0,disp_9_0,disp_10_0,disp_1_1,disp_2_1,disp_3_1,disp_4_1,disp_5_1,disp_6_1,disp_7_1,disp_8_1,disp_9_1,disp_10_1
react_12,1.6498665985279066,3.316701969809841,6.109719384471276,10.888256849311746,42.86830768045943,145.85068890799533,1.6647883237152823,1.6648539272409792,2.354534491914427,5.651611909435312,67.10147243311297,146.61560186638818,-6.5782,0.5745,-0.01235,-0.41745,5.60,5.48,4.31,-0.25386,0.06885,142.34765909090908,22.233272727272727,25.098409090909094,29.02299999999999,8.921045454545458,2.75675,0.17454545454545453,0.0,0.0,0.0,110.75445454545451,38.41554545454546,19.919431818181817,31.85879545454546,21.151181818181826,7.1285,1.2685454545454546,0.058227272727272725,0.0,0.0
react_101,1.6565242013584855,6.441369782555654,6.091844647742078,64.82189121990675,37.10324973756813,146.56614677837018,1.6647375893670218,1.6649027863951686,2.354478164915416,5.651586761689909,66.93469748451034,150.2527770824289,-6.8533,0.2511,-0.04429,-0.41426,7.22,5.65,5.49,-0.26367,0.06211,138.14195555555548,52.07430000000003,87.57413333333332,84.1814222222222,36.88377777777777,13.457277777777778,0.5407666666666665,0.0,0.0,0.0,107.27974444444445,34.0243,97.06954444444442,73.2272111111111,60.93786666666668,34.50464444444446,5.611188888888888,0.19913333333333333,0.0,0.0
react_105,1.6591952482084005,2.907427256007264,2.9071602337897966,12.20407341049654,51.06209973299217,156.41318305904775,1.6647606590338189,1.6648468871168385,2.354454110694076,5.651166491951179,66.96569695428651,148.59751472108084,-7.1422,-0.2694,-0.04547,-0.3849,5.72,5.63,5.33,-0.2748,0.05697,222.5449444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.23916666666668,86.0098888888889,29.29588888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
react_106,2.178018923925161,2.178272201353085,2.725172278003609,11.197074097389208,50.3100483969288,164.50944282083654,1.664747076034625,1.664870740408032,2.3544160020132607,5.651141500960903,66.92258824603421,151.03889477804722,-7.7413,-0.4861,-0.14756,-0.35951,6.76,6.06,6.02,-0.29019,0.03707,142.89299999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.24875,30.644250000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
react_114,1.6866599141280407,6.041673348219741,7.550745075153592,51.747931927078135,7.763104505288568,143.59881325936485,1.664799701682082,1.6648960121492908,2.35441500831142,5.651562106794101,66.78448094202092,148.10322733212698,-6.4994,0.5084,-0.02109,-0.41943,5.62,5.48,4.66,-0.25299,0.07011,142.1127808219178,27.04761643835617,29.515246575342463,57.73938356164383,30.905287671232866,18.46339726027397,1.5307671232876714,0.0,0.0,0.0,110.91479452054791,43.04232876712328,23.729780821917814,42.47539726027397,48.57573972602739,26.692821917808217,11.22569863013699,0.657917808219178,0.0,0.0
react_133,1.656380472073217,7.426642375339601,4.941505162707959,58.25893450178604,33.4758073188935,149.0350697947047,1.6822912706773956,3.092038536823817,3.695093582488715,19.080748490260635,59.02398449158742,143.66112953045567,-6.493,0.6023,-0.04789,-0.41117,5.88,5.86,4.76,-0.25135,0.07331,157.450351758794,50.251859296482415,91.60725628140699,89.22526130653263,35.68548743718595,14.756582914572856,0.5664522613065328,0.0,0.0,0.0,108.39995477386933,51.18076381909547,83.4091708542713,81.62989447236184,69.39124623115572,34.69259798994975,10.428120603015074,0.41150251256281406,0.0,0.0
react_314,1.6647699078870333,1.6648803783750068,2.354437940997293,5.651736589222679,67.02318315949255,147.30281352753303,1.7024269044615143,4.951699830516963,3.659156533844155,0.0004203031464652,46.84132527404853,146.4143209250966,-6.5799,0.5936,-0.00883,-0.4227,5.79,5.37,4.55,-0.2535,0.0697,162.46881818181816,27.759636363636364,52.95936363636365,6.2610909090909095,1.4576363636363636,0.0,0.0,0.0,0.0,0.0,110.52827272727272,56.641000000000005,33.815999999999995,43.6059090909091,5.829636363636364,0.48572727272727273,0.0,0.0,0.0,0.0
react_315,1.688201880255752,4.454158270304188,4.713759253687088,34.71996326247365,49.528724497147934,142.39800191509727,1.6647290691307306,1.6648435873991252,2.3544742212442187,5.651103299873496,66.8903687723484,151.74549478750865,-6.5964,0.5485,-0.00717,-0.43181,5.89,5.84,5.43,-0.25529,0.06809,141.77677777777777,32.40411111111111,28.01055555555556,1.6912222222222222,0.0,0.0,0.0,0.0,0.0,0.0,111.28699999999999,44.64266666666666,21.893333333333334,24.924444444444443,1.1352222222222221,0.0,0.0,0.0,0.0,0.0
react_427,1.679763642888553,7.584573874803946,3.7170544276780366,46.39226607398077,33.18895247205775,146.58761820712002,1.6647365666406728,1.664827472540446,2.35449827046358,5.651310020343611,67.10801804713506,150.54177694488254,-6.6009,0.6082,-0.00807,-0.43034,5.83,5.42,4.72,-0.25394,0.0689,142.49568085106387,26.86345390070922,31.90695035460995,30.733659574468078,17.969858156028366,6.276085106382977,1.0614539007092196,0.05446099290780142,0.0,0.0,110.8136595744681,41.288709219858156,30.155475177304954,32.71292907801417,25.583163120567384,11.49694326241135,4.627737588652482,0.6466879432624113,0.03629787234042554,0.0
react_13,1.6647781890268547,1.6648577020918816,2.3544319602170605,5.651199637790691,67.3894392267278,146.42663573567478,0.0002963576424213,3.1018039349420743,6.063108747799416,0.000715964599282,48.64291851375206,142.30491465042792,-6.1576,-0.8361,-0.03262,-0.38993,5.45,5.30,4.20,-0.24281,0.04237,182.46275000000003,1.2905,86.28474999999999,7.83075,0.0,0.0,0.0,0.0,0.0,0.0,115.50125,59.746,22.8765,75.81725,3.9277500000000005,0.0,0.0,0.0,0.0,0.0
react_100,1.653724152968515,7.23512405376931,5.469763098096055,32.63690232035063,25.138214004176724,142.48905943763816,1.664793443257549,1.6648495975586557,2.3544625453275527,5.651596643391871,67.27525741549572,149.9337365846677,-6.5758,-0.7336,-0.04635,-0.4165,5.98,5.85,4.55,-0.25426,0.06984,138.5518947368421,71.8608947368421,141.06815789473686,150.10177192982457,116.76635087719296,72.1881052631579,27.96647368421053,2.5734035087719302,0.0,0.0,108.09754385964918,62.627771929824554,127.12814035087722,116.51998245614037,135.98715789473687,102.32238596491229,51.65917543859648,15.633578947368422,1.0553859649122805,0.04592982456140351
react_102,1.647285300634191,6.805345768820147,4.557358375375353,50.32819511622437,25.401903774205817,148.61458555142644,1.6647732367139716,1.6648430594011214,2.3544589731154035,5.651294612149079,67.38769682118523,148.23222313589943,-6.9953,0.0783,-0.05689,-0.38231,5.75,5.60,5.28,-0.37833,0.02319,134.99439999999998,30.007033333333336,30.749916666666664,59.84274999999999,28.997383333333335,2.901883333333333,0.0,0.0,0.0,0.0,108.09413333333335,27.338066666666677,36.980783333333335,37.72743333333334,49.059633333333345,26.083016666666662,2.1702000000000004,0.040100000000000004,0.0,0.0
react_103,1.657252609696781,8.096208109229053,5.208413214207606,63.21272418278599,28.36090647750072,143.2226116063026,1.6647558909754347,1.6648473770853882,2.3544316509756045,5.651146560030116,66.96986173463227,151.8184307150981,-6.6289,-0.2719,-0.05401,-0.42051,7.83,5.97,5.75,-0.24217,0.04387,137.7933296703297,16.54298901098901,59.214791208791205,45.19237362637362,53.76868131868132,25.574164835164844,7.371329670329671,0.5060989010989011,0.0,0.0,107.22465934065933,37.82385714285714,38.714472527472545,46.28360439560439,45.008197802197806,41.96493406593406,24.561054945054956,4.016615384615385,0.36636263736263736,0.0
react_104,1.659203552010316,2.907597093174214,2.906976770343476,12.204494604281637,49.09774434223837,154.5593411219212,2.1610609714467754,3.101731951859437,6.063102370838553,0.0006314334472593,48.60570450394964,145.01144186816518,-6.4164,-1.15,-0.05771,-0.36184,5.46,5.37,3.90,-0.24719,0.04013,282.50446153846156,0.5915384615384615,86.12561538461539,7.649615384615383,0.0,0.0,0.0,0.0,0.0,0.0,112.48384615384614,103.81961538461539,82.24853846153846,73.408,4.911230769230769,0.0,0.0,0.0,0.0,0.0
react_107,1.8337114106471435,4.349923655204807,5.877619562127975,6.0793029200688204,31.349776309734978,147.60998317766536,1.6647567152854372,1.6648483915549153,2.3545418359464643,5.651224521528787,66.82181148033175,151.77053323108404,-6.568,0.1774,-0.09574,-0.40369,5.72,5.64,5.35,-0.53355,0.21933,159.02553333333336,31.943133333333332,38.5132,2.207133333333333,0.0,0.0,0.0,0.0,0.0,0.0,109.13573333333335,69.95959999999998,27.413999999999998,23.689933333333336,1.3432666666666664,0.14646666666666666,0.0,0.0,0.0,0.0
react_108,1.379829560737475,2.985359730381538,8.228766821979638,25.9428409081793,23.798713403614308,146.61091581392654,1.6647710316725857,1.664888423390176,2.3545063591228907,5.651586372186314,67.07305453729226,150.13686485108508,-5.6517,-1.2553,-0.05801,-0.38772,5.78,5.43,4.26,-0.33097,-0.01661,147.2209,145.7575,52.218899999999984,0.0,163.1759,9.8761,0.8620000000000001,0.0,0.0,0.0,115.3475,91.22850000000001,100.00569999999999,38.61559999999999,76.00619999999999,91.67999999999999,4.9452,1.2826,0.0,0.0
react_109,1.2078858876115723,3.212463511108547,7.328148218329808,23.76266286225015,46.64869586855699,145.6968110987581,1.6647907262918102,1.6648578141041597,2.3545332112170536,5.651751617332677,67.04557683890897,150.4786185560843,-5.972,-0.9245,-0.03283,-0.38549,5.56,5.30,4.27,-0.28152,0.01844,178.47329629629633,4.694555555555555,169.59548148148147,148.70437037037036,19.801222222222222,6.509666666666665,0.9788888888888887,0.0,0.0,0.0,115.94196296296298,36.016296296296304,46.088,155.06581481481484,86.00396296296297,84.09585185185186,4.971333333333332,0.5742592592592592,0.0,0.0
react_110,1.2223189544823112,3.76335138182612,5.573405272865718,25.528131688026523,35.27725265461518,153.37837871792038,1.6865904104525866,3.136988994644046,4.681007557339754,21.11556923993429,50.160786798349314,149.127167978949,-7.2825,-1.0798,-0.12781,-0.34466,5.84,5.54,5.38,-0.37679,0.01681,171.8537727272727,24.87209090909091,49.1530909090909,13.569772727272731,0.8400454545454547,0.0,0.0,0.0,0.0,0.0,107.53968181818182,61.817772727272725,36.94438636363637,44.991227272727286,8.57390909090909,0.4217954545454546,0.0,0.0,0.0,0.0
react_111,2.1781426770985344,2.1782591658723582,2.72504448721704,11.197054849785088,51.15907002625568,166.12241305200433,0.0002126303524109,3.1017330841580977,6.063144733891985,0.003834136940118,48.74941339673983,143.33656343531428,-6.7796,-1.3262,-0.1599,-0.33761,6.77,6.51,6.04,-0.25103,0.03382,202.8154,0.9776,85.9076,7.341200000000001,0.0,0.0,0.0,0.0,0.0,0.0,117.15120000000002,67.986,35.8476,71.649,4.4079999999999995,0.0,0.0,0.0,0.0,0.0
react_112,1.643931426191558,3.2012754528553,2.9434062572430677,13.64415654392566,66.0584731942004,155.3768440173863,1.8115198112357311,3.1017642424143643,6.063079676812021,0.0008915049537158,49.17720900384518,141.650339443011,-6.4822,-1.1725,-0.06176,-0.3575,5.48,5.39,4.86,-0.24753,0.03917,175.9681111111111,191.91266666666667,86.06611111111111,7.609333333333333,0.0,0.0,0.0,0.0,0.0,0.0,112.58922222222223,153.14722222222224,121.26211111111112,69.75077777777777,4.8068888888888885,0.0,0.0,0.0,0.0,0.0
react_113,1.6816105620401551,5.823269066648873,6.243913041788293,59.292745977795214,25.044833253328736,149.0900197321389,1.682275649306699,3.091916982032481,3.6952528454947102,10.823605922949612,55.92644181650037,148.76439088696085,-6.8825,0.3235,-0.04541,-0.41862,6.06,5.84,4.67,-0.37996,0.02059,154.2285520833333,28.890083333333333,32.47357291666666,59.14536458333333,36.21764583333333,3.239666666666667,0.0,0.0,0.0,0.0,107.82251041666667,54.85223958333332,30.046697916666655,44.787843750000015,47.548375000000014,26.58345833333334,2.4786875,0.07507291666666667,0.0,0.0
react_115,1.656997655852843,4.238256371485485,2.7577280639657884,18.908499527940403,27.68860839464895,147.25442388784248,0.0001943673637424,3.101731842076788,6.063072395516018,0.0034830580321492,48.55767838049447,144.26880085235177,-6.2499,-0.8245,-0.05165,-0.36589,5.39,5.28,3.69,-0.24097,0.04558,197.00858823529416,13.565705882352942,100.58329411764706,7.7403529411764715,0.0,0.0,0.0,0.0,0.0,0.0,111.93170588235294,74.94688235294117,49.09000000000001,77.66841176470588,5.260941176470588,0.0,0.0,0.0,0.0,0.0
react_116,1.7028638938011649,3.136646552272727,4.501239379987985,16.56916309169728,37.62204356756956,148.95443984801395,0.0003054003107541,3.10185028778292,6.063103762858873,0.0021167595026148,48.59653470807914,147.3622928283145,-6.484,-1.4841,-0.15231,-0.3137,9.72,5.54,5.33,-0.23949,0.04743,212.34071428571428,1.4528571428571428,112.78714285714285,7.618428571428573,0.0,0.0,0.0,0.0,0.0,0.0,115.28742857142858,64.07457142857143,71.46785714285714,78.026,5.343285714285715,0.0,0.0,0.0,0.0,0.0
react_117,1.7031348810962286,3.136842977880563,4.501079159262498,16.570357118155865,37.78334060951162,152.1718712191989,1.3739702823715492,3.1048821523006724,7.412711255029757,0.0039733459384087,6.062934240538675,151.65915563416704,-7.2307,-2.5334,-0.15894,-0.2988,8.97,5.55,5.46,-0.26582,0.02378,210.318875,1.6693749999999998,111.305125,3.941875,13.78725,42.55875,0.0,0.0,0.0,0.0,116.525625,59.455,71.830375,76.65325,2.771,37.73700000000001,18.609,0.0,0.0,0.0
react_118,1.6821822378493771,3.0919800553687007,3.695234363086874,10.823605683236966,55.79254905433374,148.21917508050674,0.0004444265149659,3.101768395681157,6.063109480429875,0.0030993228736468,48.731622373776645,146.83185430509684,-6.1898,-0.7157,-0.02879,-0.40371,5.60,5.21,4.91,-0.24228,0.0446,201.0595714285714,9.425571428571429,86.29185714285715,7.840857142857142,0.0,0.0,0.0,0.0,0.0,0.0,114.8247142857143,81.50392857142856,32.45107142857143,70.97442857142856,4.863714285714287,0.0,0.0,0.0,0.0,0.0
react_119,3.109383569343351,5.3007531315142895,6.062218619742805,33.6016270531794,46.8429493940562,143.36670202484993,1.6865758948046583,7.1227032507588,3.724276305671897,9.651479899561368,27.6403204742433,145.10075980895613,-5.9066,-0.9195,-0.03569,-0.39787,6.32,6.04,5.12,-0.24177,0.04286,196.27800000000005,7.481999999999999,89.247,5.21,0.0,0.0,0.0,0.0,0.0,0.0,113.161,36.26,54.339000000000006,89.22200000000001,5.234999999999999,0.0,0.0,0.0,0.0,0.0
react_120,1.6421377633140524,7.186283413236792,3.0287532678513087,35.52318299294006,29.45791068733816,148.38464223662504,1.664788333170402,1.6648456461160728,2.354445049869941,5.651275529974937,67.44634304039565,149.92662596111975,-6.0196,-0.1796,-0.0351,-0.39784,5.66,5.60,5.03,-0.24042,0.04575,136.58450000000002,25.772550000000003,54.90015000000001,41.47515,44.01475,15.01395,1.02355,0.0,0.0,0.0,107.4241,42.6095,39.7804,55.1383,29.584799999999994,38.707449999999994,4.902349999999999,0.6377,0.0,0.0
react_121,1.5836807227169256,3.196317479836097,3.6737990431790006,10.529823971090392,57.20368456710354,148.17767210623464,0.0003196337614619,3.1017736790594665,6.063036222608766,0.0058973467971932,49.0292254538012,139.80073752461556,-6.1371,-0.896,-0.04606,-0.37618,5.51,5.27,4.58,-0.24184,0.04338,218.47925,12.453749999999998,86.283125,7.8285,0.0,0.0,0.0,0.0,0.0,0.0,112.99624999999999,83.69725,57.4345,66.016,4.900625,0.0,0.0,0.0,0.0,0.0
react_122,1.681723856441785,4.40248564953119,5.246133279478985,27.706250508583445,21.344641026373168,150.66310426918906,1.8119198717314569,3.101798489308576,6.06306446462086,0.0026374167804507,48.7927517734578,145.99961924432614,-6.3623,-0.9272,-0.06432,-0.38273,5.78,5.63,4.75,-0.38441,0.01486,194.41173809523806,31.66854761904762,113.68561904761906,20.859809523809524,0.9301190476190477,0.0,0.0,0.0,0.0,0.0,111.35085714285717,75.94604761904762,72.76371428571426,84.29540476190478,16.503214285714282,0.696595238095238,0.0,0.0,0.0,0.0
react_123,1.6479528200963989,5.480464684629444,3.589502336726777,32.12870456983719,28.889712597585724,150.11720447741376,0.089442030489006,3.695226778552389,6.670051511548612,0.0030794885220707,34.37199569745777,147.3073851850185,-6.6719,-0.9272,-0.06821,-0.3792,6.62,5.86,5.69,-0.38395,0.01495,186.67865306122442,44.41618367346939,110.62287755102042,16.17781632653062,12.20665306122449,0.0,0.0,0.0,0.0,0.0,114.52769387755102,73.16802040816327,87.88612244897956,76.44016326530613,6.387367346938773,11.692816326530615,0.0,0.0,0.0,0.0
react_124,1.659037033171284,4.939192816246947,4.622403862633866,33.10539447404441,3.705325944672403,157.12295029705206,0.0890674671289752,3.695128657963747,6.670012076037635,0.0066196282378329,34.34209606352791,145.70857445401492,-6.7875,-1.316,-0.06814,-0.35657,7.92,7.69,5.74,-0.30366,0.00497,189.2811794871795,57.73225641025641,140.60702564102561,11.50307692307692,12.046615384615379,0.0,0.0,0.0,0.0,0.0,116.04258974358977,72.64289743589744,106.12456410256411,92.6618205128205,11.96938461538461,11.728897435897434,0.0,0.0,0.0,0.0
