,b1,b5,l,vol,espmin,espmax,homo,lumo,nat_charge_1,nat_charge_2,pert_1,pert_2,pert_3,pi_orb,pi*_orb,disp_1_0,disp_2_0,disp_3_0,disp_4_0,disp_5_0,disp_6_0,disp_7_0,disp_8_0,disp_9_0,disp_10_0,disp_1_1,disp_2_1,disp_3_1,disp_4_1,disp_5_1,disp_6_1,disp_7_1,disp_8_1,disp_9_1,disp_10_1
react_2,1.6831034439048709,4.837526842538547,3.737586845041007,30.177258009209496,53.21507304945506,146.52013433280104,-7.0097,0.0942,-0.19358,-0.42429,5.46,4.73,4.52,-0.26757,0.05404,114.35157692307692,41.102769230769226,61.10023076923077,110.24603846153846,7.313076923076922,0.0,0.0,0.0,0.0,0.0,90.07292307692306,19.667653846153847,68.28226923076922,75.28038461538462,66.1851923076923,14.62526923076923,0.0,0.0,0.0,0.0
react_5,1.6865633115925909,6.245409087763405,7.788965465218613,77.42651948051729,-8.290511844016226,149.22644826006976,-6.9504,0.5036,-0.19356,-0.4247,4.67,4.66,4.60,-0.26345,0.05768,115.35212747252743,22.94185934065934,27.599356043956014,33.31742857142857,25.86982197802197,17.623780219780222,3.4124857142857183,1.2210087912087906,0.0034000000000000002,0.0,90.10337802197805,23.874142857142846,29.572362637362644,33.46836923076923,30.771428571428572,21.503230769230775,12.914967032967038,3.902819780219782,1.124982417582417,0.10558681318681319
react_14,1.687398063802975,5.414497007601437,10.112300461598402,55.310004023237504,31.09941791562385,144.5011797196552,-6.9081,0.4662,-0.19681,-0.40907,5.16,4.63,4.38,-0.26171,0.05996,115.45724897959182,24.393368707482963,26.21791564625848,37.58313333333334,29.827680272108875,25.52931700680269,15.281755102040817,7.178658503401358,2.4300585034013595,0.2151020408163266,90.01074693877551,22.630214965986397,32.705368707483004,36.546448979591815,33.12347482993197,26.986148299319748,20.90820680272108,12.699138775510201,6.528578231292517,1.9759115646258498
react_20,1.6833949678079805,13.803651071997017,3.716137452405956,85.39923321247882,-20.59418463112716,147.64305474645911,-6.9613,0.4927,-0.1942,-0.42412,5.42,4.68,4.64,-0.33604,0.10863,115.37442921686751,27.077879518072283,33.771085843373505,45.75606024096383,38.71780572289168,37.23024096385545,23.73335542168675,16.580459337349406,12.449609939759036,9.932876506024092,90.06469427710844,28.003703313252984,38.44818825301207,39.50990512048199,41.92707680722896,36.047396084337365,30.96698042168675,21.094658132530117,16.2077093373494,18.35349096385544
react_79,1.686575126877369,3.13685746089876,4.68117630895113,21.11366275839607,50.08358273960457,147.0953342359595,-6.92,0.4632,-0.19768,-0.4086,5.17,4.63,4.37,-0.26193,0.05987,114.7263,24.4784,10.0748,0.765,0.0,0.0,0.0,0.0,0.0,0.0,90.5669,20.1279,27.7365,11.102599999999999,0.5105999999999999,0.0,0.0,0.0,0.0,0.0
react_80,1.6897600087784188,3.4128157654128963,3.2109623433813885,15.71492272679212,68.88381763561723,154.34299361552797,-6.8171,-0.9166,-0.23733,-0.39166,6.08,4.69,4.05,-0.27807,0.04599,91.01366666666667,381.9766666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.245,131.02266666666668,254.72266666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
react_81,3.1296815103354256,3.129814472186645,3.6291607705586415,30.78625824938937,56.077507065546605,142.07252247992372,-6.9441,0.4938,-0.20204,-0.41259,5.67,4.50,3.40,-0.2615,0.06229,154.44650000000001,22.7095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.76849999999999,66.46900000000001,21.395,2.5235,0.0,0.0,0.0,0.0,0.0,0.0
react_82,1.70436350335599,3.2007894545342914,5.791374125983617,0.0036025644582592,46.865684124869006,148.61964679179962,-6.8529,0.5495,-0.1927,-0.41833,5.46,4.93,4.48,-0.26037,0.06149,135.8709230769231,22.638384615384616,57.784076923076924,6.708846153846154,1.0252307692307692,0.0,0.0,0.0,0.0,0.0,89.36046153846154,41.39269230769231,31.477538461538458,52.17646153846154,8.80123076923077,0.819076923076923,0.0,0.0,0.0,0.0
react_179,1.6439922578978892,3.20103557020094,2.943687153719099,13.64473385598698,65.85228676038587,156.4139794940658,-7.2214,-0.8207,-0.23229,-0.37298,5.37,5.00,4.61,-0.2883,0.05213,90.4745,189.95475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.594,98.84675000000001,94.9885,0.0,0.0,0.0,0.0,0.0,0.0,0.0
react_180,1.6618926313114963,2.9097453148192627,2.9041928011443767,12.251222678990947,51.09500990635051,161.7410360785989,-7.6742,-0.7013,-0.25825,-0.36228,6.17,4.84,3.53,-0.2939,0.04442,293.7678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.99640000000001,105.64020000000001,104.13119999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
react_181,2.178104215908671,2.1782159244966617,2.725091500480173,11.196912460941324,50.61066628344623,160.3982093013451,-8.2858,-0.7789,-0.33582,-0.34487,6.67,6.20,6.20,-0.301,0.02463,116.0525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.892,28.1605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
react_182,2.930584722871888,2.9308507514516444,2.876298622356104,21.395852478738377,54.91090151343799,157.50810663573884,-7.7789,-0.9736,-0.27359,-0.34923,6.58,4.85,4.07,-0.29659,0.02824,390.7635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.868,154.3795,154.51600000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
react_183,1.659259203390896,2.9073511518422377,2.9073073978990918,12.204313715012397,50.62361374907105,153.68769470144045,-7.4171,-0.3847,-0.22886,-0.37954,5.36,4.63,3.72,-0.28689,0.05375,195.71749999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.53724999999999,56.43575,52.7445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
