,b1_0,b5_0,l_0,vol_0,espmin_0,espmax_0,b1_1,b5_1,l_1,vol_1,espmin_1,espmax_1,homo,lumo,nat_charge_1,nat_charge_2,pert_1,pert_2,pert_3,pi_orb,pi*_orb,disp_1_0,disp_2_0,disp_3_0,disp_4_0,disp_5_0,disp_6_0,disp_7_0,disp_8_0,disp_9_0,disp_10_0,disp_1_1,disp_2_1,disp_3_1,disp_4_1,disp_5_1,disp_6_1,disp_7_1,disp_8_1,disp_9_1,disp_10_1,ddG er (kcal/mol)
react_58,1.6568036251375309,2.8624679410504155,2.7229706229973307,12.848367122136011,45.77888033245395,150.84056074672395,1.6821260684777033,3.092062500998906,3.695038322465172,10.82505280356301,55.9363196940557,146.93922010847666,-6.768,0.1797,-0.25891,-0.19929,5.76,4.81,4.35,-0.26503,0.06337,133.26942424242424,19.25057575757576,13.233999999999998,1.0027878787878788,0.0,0.0,0.0,0.0,0.0,0.0,132.0392727272727,29.75536363636364,4.962151515151516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9273913295952118
react_60,1.6741668095856328,3.7772720842098697,3.696135045001665,11.607119090486028,33.298430033053585,143.51973326106256,1.6822695482922263,3.0919765727726243,3.6951694007578233,10.82403639517828,55.58193547846445,148.97078534016433,-6.5101,0.4762,-0.2177,-0.20653,5.75,4.97,4.12,-0.2541,0.07314,132.1490404040403,40.211353535353545,20.27721212121212,0.8985050505050506,0.0,0.0,0.0,0.0,0.0,0.0,135.3496262626263,27.03918181818181,21.61209090909092,9.4960404040404,0.0391717171717171,0.0,0.0,0.0,0.0,0.0,0.5909891766329634
react_61,1.698113557260335,3.111031153451828,3.6622868105681934,19.283774967453827,55.87802789219335,144.80416984296926,1.6669914223228264,2.331214493452253,3.5017499810159647,11.82052349380972,31.0278777573463,151.79704167834154,-6.6042,0.3805,-0.20519,-0.22779,5.83,4.72,3.44,-0.25745,0.07449,151.12785294117649,36.38370588235295,6.141705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.7914411764706,42.01770588235294,18.65417647058824,1.1899411764705885,0.0,0.0,0.0,0.0,0.0,0.0,0.8230152121319365
react_62,1.6745489664968791,5.495963683273657,3.70191645906252,16.593724619660108,42.98956095864862,138.54827154613923,1.6822269369834233,3.0920751755355,3.695082920303177,10.825582981193817,59.1497661291087,147.2965312792351,-6.502,0.4414,-0.21611,-0.20316,5.82,4.45,3.82,-0.25877,0.06803,132.45787068965524,50.10383620689655,29.556525862068963,5.133508620689655,0.6259741379310344,0.0,0.0,0.0,0.0,0.0,135.2853620689655,25.667129310344816,33.28992241379311,15.048586206896548,7.965922413793098,0.6207931034482759,0.0,0.0,0.0,0.0,0.0
react_71,1.6864491755810411,5.663116785212551,5.768782044397747,51.999990784705616,37.47979639533645,144.42556859369753,1.683828236236187,5.019924650818236,5.168552759773247,25.47805965697048,43.57108446297906,143.31227586956948,-6.1209,0.5853,-0.22864,-0.20799,7.01,5.9,4.81,-0.25197,0.07136,137.87195860566447,41.88741612200435,134.48070588235296,77.56246623093683,30.530015250544647,5.077740740740738,0.2738801742919391,0.0,0.0,0.0,115.65355555555558,167.13538997821348,67.3343267973856,38.44469498910675,23.741538126361647,12.39756209150326,2.81492592592593,0.1621895424836602,0.0,0.0,0.6406162799722864
react_72,1.6833457872854536,8.263642100350827,3.716196306541261,51.55235226427388,39.49519466131766,144.6985552302646,3.3669867010243646,3.367142239308297,4.11416118856819,14.32350127682915,49.59135502498084,149.09501627628583,-6.7431,-0.067,-0.16269,-0.70155,4.27,3.84,2.81,-0.25625,0.0629,114.77888346883458,132.99917344173446,100.68837398373992,41.047468834688345,24.76327100271005,11.77982926829268,2.1065203252032534,0.0900785907859078,0.0,0.0,189.29623306233051,106.8299430894309,39.35471002710028,27.6050758807588,32.02463956639568,20.65505691056911,9.726886178861788,2.6570542005420044,0.1039999999999999,0.0,0.7695506037328774
react_74,3.3445412301371014,4.7856043607907655,5.0816975209953394,74.54722871474382,45.365813313850246,145.30845621880593,1.6834986015752726,5.717075014194371,3.7161542877615146,35.6315538588973,47.719113317955205,147.2624078790694,-6.6711,-0.0541,-0.70019,-0.16267,4.33,3.84,2.81,-0.25594,0.06336,188.00002754237303,140.31883262711855,74.29918220338985,33.38788347457631,15.349110169491528,1.6488622881355932,0.0,0.0,0.0,0.0,114.475781779661,132.85819067796604,127.5015042372882,59.75447033898306,17.49750423728814,0.916447033898305,0.0,0.0,0.0,0.0,0.5398429551606685
react_577,1.683619146647368,4.425698559433909,3.714814830604356,27.120210478570847,47.2104068909208,142.67870026653264,1.6567175517771098,2.862382550620372,2.7230460792079616,12.847483188100451,30.234978692398364,153.56885325589536,-6.5953,0.3713,-0.1982,-0.23088,5.75,4.6,4.23,-0.2573,0.07276,130.817672,47.68478400000003,14.364399999999996,0.6929120000000003,0.0,0.0,0.0,0.0,0.0,0.0,133.55107199999992,15.294640000000005,32.964592,11.096240000000002,0.6532240000000002,0.0,0.0,0.0,0.0,0.0,0.9273913295812128
react_579,1.6864758393744053,10.372006611303956,5.778500921445576,96.47810409764055,23.307297811745347,144.11005068309152,1.6567536397627587,2.862326310662432,2.7229807495887743,12.847144570369393,30.890700610618925,150.70702635521508,-6.7148,0.2142,-0.19422,-0.25888,5.73,4.38,3.96,-0.26379,0.06376,131.55868152866245,46.19610646041855,35.1253575978162,39.69899909008193,37.9784740673339,29.09899636032755,23.51472793448587,16.425092811646927,13.033940855323031,8.595250227479527,133.34525477707018,20.545614194722507,36.95811646951775,44.09841492265697,38.753303002729794,28.77804276615101,24.05194267515924,20.66720382165607,14.893813466787998,19.133920837124663,1.0317674470834415
react_67,1.6761340464803465,6.058874451367442,3.3841227054571457,29.238328431672,36.53724215787008,146.70702754873454,3.1093581439150246,4.321509535628416,6.061774613576182,11.609854488261176,46.903533237005,141.905369456866,-5.9226,-0.6979,-0.18313,-0.22305,3.79,3.57,3.57,-0.23526,0.05277,145.177,0.0,63.12,57.69,5.238,0.0,0.0,0.0,0.0,0.0,169.634,7.066000000000001,89.287,5.238,0.0,0.0,0.0,0.0,0.0,0.0,0.4731065587466388
react_70,3.1093167935971784,5.300810129924963,6.062319672829426,33.60293908959761,46.75723379687393,136.82789509998184,1.687866909452988,3.285819453535564,8.092310853825385,1.8311637448222888,27.54822185074237,149.69709504554135,-5.8309,-0.8396,-0.22988,-0.17891,5.31,4.35,2.84,-0.23467,0.05018,171.779,29.031,89.218,7.915000000000001,0.0,0.0,0.0,0.0,0.0,0.0,139.034,32.739,60.572,60.333,5.265000000000001,0.0,0.0,0.0,0.0,0.0,0.1640664539823468
react_75,3.095640258608091,8.352349157562456,3.901237812308857,99.99657122837402,18.91581988116838,143.28131819192393,3.12442161316438,5.9154878483057685,8.191848193482997,6.91788154624771,22.898509591957907,137.33662066605507,-5.266,-0.6355,-0.24498,-0.20058,4.53,3.8,3.14,-0.23989,0.05,174.18233333333333,39.070166666666665,61.36316666666667,56.85949999999999,2.390833333333333,35.59833333333333,9.114166666666666,1.4846666666666668,0.0,0.0,165.38566666666668,53.16683333333333,109.18783333333334,6.125666666666667,20.52733333333333,23.4435,2.2263333333333333,0.0,0.0,0.0,0.2314024487584707
