,b1_0,b5_0,l_0,vol_0,espmin_0,espmax_0,b1_1,b5_1,l_1,vol_1,espmin_1,espmax_1,b1_2,b5_2,l_2,vol_2,espmin_2,espmax_2,homo,lumo,nat_charge_1,nat_charge_2,pert_1,pert_2,pert_3,pi_orb,pi*_orb,disp_1_0,disp_2_0,disp_3_0,disp_4_0,disp_5_0,disp_6_0,disp_7_0,disp_8_0,disp_9_0,disp_10_0,disp_1_1,disp_2_1,disp_3_1,disp_4_1,disp_5_1,disp_6_1,disp_7_1,disp_8_1,disp_9_1,disp_10_1,ddG er (kcal/mol)
react_6,1.6803822507437975,5.182489766626135,3.717004262023273,30.38833175909537,44.50854526883649,149.98045491563855,1.6647704744257186,1.6648409113316414,2.3543730341118483,5.651104418805099,67.19820628080856,152.13269398327176,1.6647704744257186,1.6648409113316414,2.3543730341118483,5.651104418805099,67.19820628080856,152.13269398327176,-6.2254,0.7339,-0.21466,-0.01915,6.37,4.38,4.31,-0.2468,0.08145,156.21285714285716,43.138309523809525,19.56311904761905,10.766476190476183,0.677952380952381,0.0,0.0,0.0,0.0,0.0,142.72397619047624,18.378785714285723,36.398809523809526,23.567071428571428,7.956952380952383,1.3331190476190475,0.0,0.0,0.0,0.0,2.2412476529285623
react_77,1.659165214158944,2.907364475620174,2.9072465310031608,12.20328929472681,50.67161088158877,156.17277188228826,1.6647516510575144,1.6648874293197422,2.354504310126354,5.651461308787723,67.16246076866551,149.6188236559408,1.6647516510575144,1.6648874293197422,2.354504310126354,5.651461308787723,67.16246076866551,149.6188236559408,-6.7081,-0.1626,-0.25136,0.01149,6.1,4.97,4.84,-0.26424,0.06631,237.9956666666667,11.440444444444443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.7111111111111,50.96422222222222,58.760777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1308935075268458
react_78,1.6839347454694118,4.425763039774756,3.714840446573589,27.12584880268152,47.18251434602752,142.42789263839265,1.6837257488288522,4.4257369934349375,3.714880791164974,27.122987706136684,47.260932321840045,147.93426921533074,1.685662278663677,3.645833483741165,3.013160341245684,15.771384800096785,20.6537242355686,157.8058702954365,-6.7657,0.1849,-0.0315,-0.19672,5.94,4.55,4.43,-0.33793,0.10714,183.285,36.41625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.4835,41.31975,13.659,13.239,0.0,0.0,0.0,0.0,0.0,0.0,0.7695506037328774
react_87,1.6912990635422065,6.4902482038616895,6.849331835933551,58.98527180036957,34.36540559301433,149.31614245553834,1.6818744451828316,5.161724816862622,6.0186719212316495,49.65578278383204,42.98770108333345,135.3114185686359,1.6890860978431983,5.75443743828035,6.492002431839779,58.54358163678897,13.778980994984622,144.9883946376368,-6.2293,0.6606,-0.04474,-0.22458,5.78,5.52,5.21,-0.24854,0.08079,176.38246291560114,98.37647826086952,154.40169053708445,144.33412020460358,55.64472378516621,19.353826086956524,0.6426342710997442,0.0,0.0,0.0,146.07556010230186,86.05922250639387,171.68809974424553,102.58529156010228,87.6220051150895,46.36620204603586,8.423841432225066,0.3157135549872122,0.0,0.0,0.14192114438699568
react_88,1.6890371020320163,5.754509236288855,6.491892314608428,58.5436204139023,15.448858930378956,140.8566202231871,1.692038328562705,5.002454951168648,5.818658238823629,3.498117806130947,26.397960975021853,147.46488930872613,1.6670250530290531,2.33122292455846,3.501708646879147,11.819901946522489,46.39325665577725,149.1745942033518,-6.5493,0.3267,-0.05965,-0.21363,5.62,5.28,3.9,-0.25819,0.07042,177.21403896103894,45.44133766233768,43.72648051948053,27.60303896103895,3.1063246753246747,0.0,0.0,0.0,0.0,0.0,146.4379480519481,79.90589610389613,57.440116883116886,12.28607792207792,1.0211818181818182,0.0,0.0,0.0,0.0,0.0,0.19754643580553227
react_256,1.635673517396092,3.228403232094988,5.659018782643598,29.21033988936385,43.51867173458083,147.52380818080084,1.6830637464148988,4.412272078104807,3.7235386572498506,27.129323293553107,6.2693914446891,148.8016884810245,1.6822233803886593,3.0920425006453,3.695177300922818,19.08049014693651,55.73037453763197,150.58726654956212,-5.5929,0.8821,0.15258,-0.14132,5.79,4.93,4.79,-0.25865,0.06786,140.93599999999998,52.57339999999999,16.053400000000003,1.0158,0.0,0.0,0.0,0.0,0.0,0.0,173.6508,34.515,2.4128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2122618405681242
react_258,2.3592230647173014,3.111990411632607,3.680140490995136,26.964802153436995,44.73527021307331,145.1731284679856,1.6823053547323863,3.092004073913874,3.695033752541007,10.823946110559454,55.69965656860359,144.1704878143265,1.6647446639897774,1.6648163458630292,2.3544735592630843,5.651373900245135,67.23646007380111,150.76645865553735,-6.3583,0.5804,-0.05815,-0.21829,4.59,4.59,3.79,-0.25141,0.07772,198.74729166666663,36.52620833333332,11.649875000000002,0.7602916666666668,0.0,0.0,0.0,0.0,0.0,0.0,153.98033333333333,66.3315,26.191791666666678,1.1800416666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.4091184007238878
react_259,1.6834886262908475,5.71716594059223,3.716205540574149,35.63275792901216,42.09809760088402,144.99051618440055,1.6833479639902216,5.717201968364902,3.716159832406797,35.62936886832731,44.37525604527715,146.21132876548305,1.6857701942079475,3.645762547845067,3.0132318023759823,15.77104539756379,14.11251689872875,158.45007088880243,-6.7927,0.1931,-0.2009,-0.03133,5.75,5.36,5.2,-0.33668,0.10839,152.663,64.48566666666666,20.5355,8.848666666666666,0.0,0.0,0.0,0.0,0.0,0.0,183.28466666666668,60.64383333333334,2.6043333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9630586926576703
react_265,1.687864498255604,4.420836334612537,3.731571360530091,27.417527832595592,47.74841148405902,146.54263010800807,1.8945309764448663,4.382081121154528,3.459161618102603,10.977254261185095,54.06453142537236,150.3074026602186,1.8945309764448663,4.382081121154528,3.459161618102603,10.977254261185095,54.06453142537236,150.3074026602186,-5.4215,1.2768,-0.40833,0.6776,7.15,6.96,6.52,-0.27342,0.07905,143.77010775862075,88.92834913793098,57.68884482758621,20.531452586206903,1.2288275862068958,0.0,0.0,0.0,0.0,0.0,162.774625,66.16410344827582,59.907129310344814,21.68127155172413,1.6204525862068968,0.0,0.0,0.0,0.0,0.0,1.7625732599337498
react_275,1.681336548869808,4.985611044667428,3.725089743917568,31.12201793453888,43.66009699491144,146.04041037185658,1.680189180401944,5.182509321775377,3.7169936000735815,30.384293248382445,41.98308873217181,146.26219424378354,1.6838553534568097,5.019979894813366,5.168564688068374,25.479503960944616,43.07313674854159,144.94673811179766,-6.2025,0.6619,-0.22407,-0.00957,5.45,5.3,4.94,-0.24751,0.08002,156.57066666666665,169.23191666666665,16.93525,46.088833333333326,5.5680000000000005,0.0,0.0,0.0,0.0,0.0,159.34483333333333,169.15925,56.47275,9.417833333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.17908260389835878
react_281,1.6832434730354304,8.988180848814833,3.715965873442854,45.70060275467504,32.51826112720136,147.2089002093987,1.682151695655936,3.092014457062352,3.695027759781633,10.824024230841925,55.55167094777837,145.04985040499278,1.6821644893541428,3.092061305258329,3.695112003521445,10.823630348003771,55.62879562657528,145.93560850941617,-6.5519,0.3243,-0.1995,-0.04239,8.48,8.33,8.06,-0.25577,0.08604,115.8243928571428,70.07614495798325,25.682313025210068,32.19147689075631,27.28632352941177,22.743823529411745,8.296735294117655,2.093455882352941,0.1076533613445378,0.0,136.91291386554624,27.11442226890757,26.86068487394959,33.23254621848737,31.24769957983196,23.36774789915967,15.87752731092437,7.38182352941177,2.1300567226890768,0.1768970588235293,0.05432145964285669
