,Q1_B1,Q1_B5,Q1_L,Q1_BFS2,Q1_NWESPMIN,Q1_99ESPMAX,Q1_NATURAL CHARGE,Q2_B1,Q2_B5,Q2_L,Q2_BFS2,Q2_NWESPMIN,Q2_99ESPMAX,Q2_NATURAL CHARGE,Q3_B1,Q3_B5,Q3_L,Q3_BFS2,Q3_NWESPMIN,Q3_99ESPMAX,Q3_NATURAL CHARGE,Q4_B1,Q4_B5,Q4_L,Q4_BFS2,Q4_NWESPMIN,Q4_99ESPMAX,Q4_NATURAL CHARGE,HOMO,LUMO,C0_nat_charge,C1_nat_charge,pert1,pert2,pert3,pi_orb_energy,pi*_orb_energy,AlkC1_RDF_1,AlkC1_RDF_2,AlkC1_RDF_3,AlkC1_RDF_4,AlkC1_RDF_5,AlkC1_RDF_6,AlkC1_RDF_7,AlkC1_RDF_8,AlkC1_RDF_9,AlkC1_RDF_10,AlkC2_RDF_1,AlkC2_RDF_2,AlkC2_RDF_3,AlkC2_RDF_4,AlkC2_RDF_5,AlkC2_RDF_6,AlkC2_RDF_7,AlkC2_RDF_8,AlkC2_RDF_9,AlkC2_RDF_10,ddG er (kcal/mol)
react_0,2.233999729156494,4.119572639465332,4.640026092529297,34.54961395263672,72.69925689697266,561.2536010742188,-0.5478600263595581,1.100000023841858,1.100000023841858,2.599073648452759,5.575279712677002,342.2778625488281,537.5413818359375,0.2045200020074844,2.20554256439209,2.731414318084717,4.009574890136719,19.545366287231445,282.15264892578125,517.8131713867188,-0.6527000069618225,1.100000023841858,1.100000023841858,2.5968902111053467,5.575279712677002,342.2778625488281,537.5413818359375,0.2161400020122528,-7.310299873352051,-0.1331000030040741,-0.2150799930095672,-0.1810099929571151,4.81,3.99,3.47,-0.28125,0.0475100018084049,140.45199584960938,32.10100173950195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.84600067138672,31.46299934387207,14.170000076293944,13.074000358581545,0.0,0.0,0.0,0.0,0.0,0.0,1.4039556858223057
react_1,1.7002049684524536,3.809141159057617,7.03590202331543,53.748077392578125,102.29841613769533,531.2452392578125,-0.2144999951124191,1.100000023841858,1.100000023841858,2.593967914581299,5.575279712677002,342.2778625488281,537.5413818359375,0.1970199942588806,1.100000023841858,1.100000023841858,2.592515468597412,5.575279712677002,342.2778625488281,537.5413818359375,0.2153300046920776,1.100000023841858,1.100000023841858,2.5955286026000977,5.575279712677002,342.2778625488281,537.5413818359375,0.2290399968624115,-6.139500141143799,-1.6262999773025513,-0.2456099987030029,-0.3591600060462951,2.43,2.29,11.34,-0.2884899973869324,0.0292000006884336,121.19200134277344,145.05599975585938,165.0240020751953,20.29199981689453,0.0,0.0,0.0,0.0,0.0,0.0,92.64299774169922,86.80249786376953,86.80249786376953,165.0240020751953,20.29199981689453,0.0,0.0,0.0,0.0,0.0,1.9143216103789624
react_2,2.279647827148437,4.045498371124268,6.590852737426758,34.54961395263672,193.3206787109375,512.0470581054688,-0.4646799862384796,1.100000023841858,1.100000023841858,2.593951940536499,5.575279712677002,342.2778625488281,537.5413818359375,0.1963600069284439,1.100000023841858,1.100000023841858,2.593613624572754,5.575279712677002,342.2778625488281,537.5413818359375,0.2095700055360794,1.100000023841858,1.100000023841858,2.598026990890503,5.575279712677002,342.2778625488281,537.5413818359375,0.2115499973297119,-7.009900093078613,0.0940999984741211,-0.193570002913475,-0.4242500066757202,4.73,4.52,2.01,-0.2675800025463104,0.0540499985218048,114.60193634033205,58.29893493652344,34.12839889526367,127.40673065185548,0.0,0.0,0.0,0.0,0.0,0.0,90.37660217285156,26.319334030151367,68.16120147705078,60.303932189941406,63.85373306274414,25.421199798583984,0.0,0.0,0.0,0.0,0.8539291891304376
react_3,1.7006181478500366,3.750941038131714,6.774720191955566,44.02927780151367,229.64389038085935,500.7175598144531,0.2839399874210357,1.100000023841858,1.100000023841858,2.5941553115844727,5.575279712677002,342.2778625488281,537.5413818359375,0.1972199976444244,1.100000023841858,1.100000023841858,2.5923843383789062,5.575279712677002,342.2778625488281,537.5413818359375,0.2090699970722198,1.100000023841858,1.100000023841858,2.5955164432525635,5.575279712677002,342.2778625488281,537.5413818359375,0.230330005288124,-5.753200054168701,-0.8974000215530396,-0.2643100023269653,-0.3819699883460998,2.32,14.45,1.21,-0.2695100009441376,0.0470900014042854,138.46400451660156,28.9060001373291,31.826000213623047,2.505000114440918,0.0,0.0,0.0,0.0,0.0,0.0,91.69499969482422,24.631500244140625,52.56850051879883,30.37150001525879,2.434499979019165,0.0,0.0,0.0,0.0,0.0,1.661527042252833
react_4,1.7155063152313232,6.349540710449219,7.5816545486450195,49.89857864379883,187.7869415283203,480.9186706542969,-0.0490900017321109,1.100000023841858,1.100000023841858,2.594407320022583,5.575279712677002,342.2778625488281,537.5413818359375,0.1994699984788894,1.100000023841858,1.100000023841858,2.593437910079956,5.575279712677002,342.2778625488281,537.5413818359375,0.2076199948787689,1.100000023841858,1.100000023841858,2.595583200454712,5.575279712677002,342.2778625488281,537.5413818359375,0.2171099931001663,-5.771699905395508,-1.4375,-0.2247200012207031,-0.3772400021553039,2.4,11.46,1.28,-0.2753300070762634,0.0625799968838691,155.95199584960938,28.85700035095215,114.15599822998048,65.43099975585938,5.2179999351501465,0.0,0.0,0.0,0.0,0.0,95.43199920654295,58.47150039672852,73.53700256347656,59.76150131225586,62.821998596191406,18.2814998626709,1.308500051498413,0.0,0.0,0.0,3.2505783702049342
react_5,2.28690242767334,7.494301319122314,8.789666175842285,34.54961395263672,-9.25289821624756,496.5795593261719,-0.4537400007247925,1.100000023841858,1.100000023841858,2.593914747238159,5.575279712677002,342.2778625488281,537.5413818359375,0.1974599957466125,1.100000023841858,1.100000023841858,2.5937747955322266,5.575279712677002,342.2778625488281,537.5413818359375,0.2077299952507019,1.100000023841858,1.100000023841858,2.598394632339477,5.575279712677002,342.2778625488281,537.5413818359375,0.2089100033044815,-6.950300216674805,0.5037000179290771,-0.1935199946165084,-0.4247199892997741,4.67,4.66,2.04,-0.2634400129318237,0.0576799996197223,116.48152160644533,24.23381996154785,28.05727195739746,35.2801399230957,25.264801025390625,15.021079063415527,2.67344331741333,0.3698908388614654,0.0010296496329829,0.0,90.57083129882812,24.990760803222656,29.950647354125977,32.98304748535156,31.365392684936523,19.9992618560791,13.752642631530762,3.346804618835449,0.4236078262329101,0.0,1.988440635339029
react_6,2.249719381332397,4.243497848510742,7.592407703399658,34.54961395263672,187.5423583984375,496.8443603515625,-0.4525200128555298,2.2002880573272705,2.7347395420074463,4.04697847366333,19.545366287231445,281.8134765625,519.3497314453125,-0.650879979133606,2.2055811882019043,2.73160719871521,4.024520397186279,19.545366287231445,282.39385986328125,517.9902954101562,-0.6403399705886841,1.100000023841858,1.100000023841858,2.599049568176269,5.575279712677002,342.2778625488281,537.5413818359375,0.2029200047254562,-6.225200176239014,0.734000027179718,-0.2146099954843521,-0.0191600006073713,4.38,4.31,4.17,-0.2467900067567825,0.0814500004053115,157.0806121826172,44.48897552490234,19.18002319335937,8.955750465393066,0.5866363644599915,0.0,0.0,0.0,0.0,0.0,142.64808654785156,20.91656875610352,37.025978088378906,20.95909118652344,7.97861385345459,0.7636591196060181,0.0,0.0,0.0,0.0,2.2412476529285623
react_7,1.7259944677352903,3.8728082180023193,7.518503665924072,49.89857864379883,214.4068603515625,501.7700805664063,-0.0535300001502037,1.100000023841858,1.100000023841858,2.595067262649536,5.575279712677002,342.2778625488281,537.5413818359375,0.2141100019216537,2.269387722015381,5.171138763427734,5.273131370544434,34.54961395263672,343.2268981933594,538.284912109375,-0.4545400142669678,2.2616121768951416,5.167869567871094,5.307073593139648,34.54961395263672,221.55540466308597,491.07464599609375,-0.4511800110340118,-5.888500213623047,-0.6546000242233276,-0.0431400015950202,-0.1857499927282333,5.79,4.63,3.19,-0.2551299929618835,0.0764899998903274,217.62049865722656,37.02199935913086,88.90249633789062,7.935999870300293,0.0,0.0,0.0,0.0,0.0,0.0,157.89974975585938,80.34249877929688,40.55849838256836,68.04650115966797,4.633749961853027,0.0,0.0,0.0,0.0,0.0,2.572119141281011
react_8,2.255570888519287,6.393512725830078,5.720350742340088,34.54961395263672,180.71859741210935,499.1593017578125,-0.4472399950027466,1.100000023841858,1.100000023841858,2.599989175796509,5.575279712677002,342.2778625488281,537.5413818359375,0.2017900049686432,2.254525661468506,4.304725646972656,7.510847568511963,34.54961395263672,185.8689727783203,498.42681884765625,-0.4514699876308441,1.100000023841858,1.100000023841858,2.600360631942749,5.575279712677002,342.2778625488281,537.5413818359375,0.2013300061225891,-6.480400085449219,0.6105999946594238,-0.211229994893074,-0.2020999938249588,4.47,4.1,2.52,-0.2536700069904327,0.0719399973750114,135.7229766845703,50.20895385742188,52.58160400390625,32.93373107910156,11.51366138458252,0.946069061756134,0.0,0.0,0.0,0.0,135.73609924316406,52.153419494628906,50.551265716552734,34.20417022705078,10.36003875732422,0.9020041227340698,0.0,0.0,0.0,0.0,2.0357282492026565
react_9,2.0780882835388184,4.601513385772705,7.205187797546387,38.15998077392578,182.3410797119141,498.9476623535156,0.8222000002861023,1.100000023841858,1.100000023841858,2.595525026321411,5.575279712677002,342.2778625488281,537.5413818359375,0.2239799946546554,2.2538740634918213,6.396091938018799,5.766525268554688,34.54961395263672,187.27952575683597,512.213134765625,-0.4564599990844726,1.100000023841858,1.100000023841858,2.594470262527466,5.575279712677002,342.2778625488281,537.5413818359375,0.2275999933481216,-7.27269983291626,-1.1049000024795532,-0.3310199975967407,-0.1245900020003318,5.53,4.62,2.79,-0.2727600038051605,0.049320001155138,148.22763061523438,33.34986114501953,59.62432098388672,33.6849365234375,11.48583984375,0.8304117918014526,0.0,0.0,0.0,0.0,132.54373168945312,60.98979568481445,44.40506362915039,35.73944854736328,12.698278427124023,0.8266791701316833,0.0,0.0,0.0,0.0,2.720807499049638
