,b1,b5,l,vol,espmin,espmax
react_0_c1_frag_0,1.664709412211061,1.6648169889413955,2.354514534785343,5.651133208581501,67.11172838512337,147.79650133118926
react_0_c2_frag_0,1.6855726263395094,3.6457748449262932,3.0130860587603543,15.76797154685701,14.87796487169486,163.90366902482378
react_2_c2_frag_0,1.6831034439048707,4.837526842538547,3.737586845041007,30.177258009209496,53.21507304945506,146.52013433280104
react_5_c1_frag_0,1.6865633115925907,6.245409087763405,7.788965465218613,77.42651948051729,-8.290511844016226,149.22644826006976
react_6_c1_frag_0,1.6803822507437975,5.182489766626135,3.717004262023273,30.38833175909537,44.50854526883649,149.98045491563855
react_6_c2_frag_0,1.6647704744257186,1.6648409113316414,2.3543730341118483,5.651104418805099,67.19820628080856,152.13269398327176
react_8_c1_frag_0,1.680181420986992,5.182466945913837,3.7171630057595513,30.38638778319267,40.31532092286888,146.77384845929953
react_8_c2_frag_0,1.6813718192461597,4.985501938100517,3.72505335283145,31.121719764224732,40.404776915743,145.06267964783365
react_12_c2_frag_0,1.6647883237152825,1.6648539272409792,2.354534491914427,5.651611909435312,67.10147243311297,146.61560186638818
react_12_c2_frag_1,1.6498665985279066,3.3167019698098414,6.109719384471276,10.888256849311746,42.86830768045943,145.85068890799533
react_14_c2_frag_0,1.687398063802975,5.414497007601437,10.112300461598402,55.310004023237504,31.09941791562385,144.5011797196552
react_20_c2_frag_0,1.6833949678079805,13.803651071997015,3.7161374524059556,85.39923321247882,-20.594184631127156,147.64305474645911
react_25_c2_frag_0,1.6801071926519695,12.46754071210502,3.716957879146099,76.10224932823387,-8.603064019369835,145.04544566502608
react_28_c2_frag_0,1.6866121466519906,10.487960604518376,14.671398079569252,183.4528388958121,-10.76527189068041,145.99956408624382
react_37_c1_frag_0,1.305517472404497,5.992124056691861,6.746770311723889,52.73690617429757,-4.564872162813356,149.4448381842827
react_37_c2_frag_0,1.6873392610902125,3.2513181136813514,6.008534164009376,29.522391089132505,42.03627618376046,143.97029767274486
react_43_c1_frag_0,1.6567799678409052,6.701432209277966,4.249064532542278,45.802300670394125,34.79013418483899,148.0585384922808
react_43_c2_frag_0,1.6809779729838201,5.222812937140414,3.72426905462566,28.88603151425082,45.34603835694986,146.48610813385207
react_44_c1_frag_0,1.664798143457807,1.6648638472284232,2.3543870366269597,5.651414920833302,67.19128460036171,150.25913670264438
react_44_c2_frag_0,1.678705926595535,7.638281675460483,5.472487271741088,69.86394218270614,10.128333401648268,145.6660119927554
react_46_c1_frag_0,1.6745553608501147,8.064058471549824,4.570935277763876,46.25505583462103,24.880521593146653,147.3078376820966
react_46_c2_frag_0,1.6811986678770527,6.318012715570577,3.725629789523841,37.068001743400856,35.852770077564976,147.25103245016632
react_55_c1_frag_0,1.6565552937019596,6.441302460522019,6.091950138163941,64.82376761348537,35.25982646565727,152.6375616838805
react_55_c2_frag_0,1.6798178589248323,16.33711540802972,3.7171399413120714,99.51743623384758,19.828081099018775,146.1352003207191
react_58_c1_frag_0,1.6568036251375307,2.8624679410504155,2.7229706229973307,12.848367122136013,45.77888033245395,150.84056074672395
react_58_c2_frag_0,1.6821260684777033,3.092062500998906,3.6950383224651717,10.82505280356301,55.9363196940557,146.93922010847666
react_60_c1_frag_0,1.6741668095856328,3.7772720842098697,3.6961350450016646,11.607119090486028,33.298430033053585,143.51973326106256
react_60_c2_frag_0,1.6822695482922263,3.0919765727726243,3.6951694007578233,10.824036395178279,55.58193547846445,148.97078534016433
react_61_c1_frag_0,1.6669914223228264,2.331214493452253,3.5017499810159647,11.82052349380972,31.0278777573463,151.79704167834154
